state,destination,latitude,longitude,interest,region,type,activities,budget_category,best_season,rating,popularity_score,description
delhi,India Gate,28.612912,77.2295097,cultural & heritage sites,North,heritage,"culture,forts,shopping,history",low,winter,4.6,53,"India Gate is a heritage destination in delhi known for culture,forts,shopping,history. It is ideal for history and culture lovers"
delhi,Humayun's Tomb,28.5932848,77.2507492,cultural & heritage sites,North,heritage,"culture,forts,shopping,history",low,winter,4.5,80,"Humayun's Tomb is a heritage destination in delhi known for culture,forts,shopping,history. It is ideal for history and culture lovers"
delhi,Akshardham Temple,28.6126735,77.2772619,religious & spiritual pilgrimages,North,religious,"temple,spiritual,peace",medium,all,4.6,84,"Akshardham Temple is a religious destination in delhi known for temple,spiritual,peace. It is ideal for spiritual seekers"
delhi,Waste to Wonder Park,28.5926939,77.2569715,adventure & outdoor activities,North,adventure,"trekking,rafting,paragliding",medium,summer,4.1,71,"Waste to Wonder Park is a adventure destination in delhi known for trekking,rafting,paragliding. It is ideal for adventure lover"
delhi,Jantar Mantar,28.6270547,77.2166267,"arts, science & literature attractions",North,city,"exploration,local experience",low,All,4.2,83,"Jantar Mantar is a city destination in delhi known for exploration,local experience. It is ideal for explorers and tourists"
delhi,Chandni Chowk,28.6505331,77.230337,shopping & markets,North,city,"exploration,local experience",low,All,4.2,87,"Chandni Chowk is a city destination in delhi known for exploration,local experience. It is ideal for explorers and tourists"
delhi,Lotus Temple,28.553492,77.2588264,religious & spiritual pilgrimages,North,religious,"temple,spiritual,peace",low,all,4.5,92,"Lotus Temple is a religious destination in delhi known for temple,spiritual,peace. It is ideal for spiritual seekers"
delhi,Red Fort,28.6561592,77.2410203,cultural & heritage sites,North,heritage,"culture,forts,shopping,history",low,winter,4.5,73,"Red Fort is a heritage destination in delhi known for culture,forts,shopping,history. It is ideal for history and culture lovers"
delhi,Agrasen ki Baoli,28.626062,77.2250369,cultural & heritage sites,North,heritage,"culture,forts,shopping,history",low,winter,4.2,98,"Agrasen ki Baoli is a heritage destination in delhi known for culture,forts,shopping,history. It is ideal for history and culture lovers"
delhi,Sunder Nursery,28.5956467,77.2451691,natural landscapes & wildlife,North,wildlife,"safari,photography,nature",low,winter,4.6,55,"Sunder Nursery is a wildlife destination in delhi known for safari,photography,nature. It is ideal for history and cultural lover"
