destination,city,region,type,activities,budget_category,best_season,rating,popularity_score,description
India Gate,Delhi,north,heritage,heritage,low,winter,4.6,53.0,"India Gate is a heritage destination in delhi known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Humayun's Tomb,Delhi,north,heritage,heritage,low,winter,4.5,80.0,"Humayun's Tomb is a heritage destination in delhi known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Akshardham Temple,Delhi,north,religious,religious,medium,all,4.6,84.0,"Akshardham Temple is a religious destination in delhi known for temple,spiritual,peace. It is ideal for spiritual seekers"
Waste to Wonder Park,Delhi,north,adventure,wildlife,medium,summer,4.1,71.0,"Waste to Wonder Park is a adventure destination in delhi known for trekking,rafting,paragliding. It is ideal for adventure lover"
Jantar Mantar,Delhi,north,city,exploration,low,all,4.2,83.0,"Jantar Mantar is a city destination in delhi known for exploration,local experience. It is ideal for explorers and tourists"
Chandni Chowk,Delhi,north,city,shopping,low,all,4.2,87.0,"Chandni Chowk is a city destination in delhi known for exploration,local experience. It is ideal for explorers and tourists"
Lotus Temple,Delhi,north,religious,religious,low,all,4.5,92.0,"Lotus Temple is a religious destination in delhi known for temple,spiritual,peace. It is ideal for spiritual seekers"
Red Fort,Delhi,north,heritage,heritage,low,winter,4.5,73.0,"Red Fort is a heritage destination in delhi known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Agrasen ki Baoli,Delhi,north,heritage,heritage,low,winter,4.2,98.0,"Agrasen ki Baoli is a heritage destination in delhi known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Sunder Nursery,Delhi,north,wildlife,wildlife,low,winter,4.6,55.0,"Sunder Nursery is a wildlife destination in delhi known for safari,photography,nature. It is ideal for history and cultural lover"
Garden of Five Senses,Delhi,north,wildlife,wildlife,low,winter,4.1,64.0,"Garden of Five Senses is a wildlife destination in delhi known for safari,photography,nature. It is ideal for history and cultural lover"
Lodhi Garden,Delhi,north,wildlife,wildlife,low,winter,4.5,55.0,"Lodhi Garden is a wildlife destination in delhi known for safari,photography,nature. It is ideal for history and cultural lover"
National Gallery of Modern Art,Delhi,north,city,exploration,low,all,4.5,80.0,"National Gallery of Modern Art is a city destination in delhi known for exploration,local experience. It is ideal for explorers and tourists"
National Zoological Park ,Bayawat,north,wildlife,wildlife,medium,winter,4.1,54.0,"National Zoological Park  is a wildlife destination in delhi known for safari,photography,nature. It is ideal for history and cultural lover"
